real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
-6.6005898,-9.529762,148,Validation,2,1
-11.200126,-10.118493,150,Validation,2,1
-11.582187,-9.810294,154,Validation,2,1
-11.582187,-9.99142,155,Validation,2,1
-4.660579,-8.088843,157,Validation,2,1
-2.809536,-10.543886,168,Validation,2,1
-8.911627,-9.138291,173,Validation,2,1
-9.8433695,-9.008388,174,Validation,2,1
-9.8433695,-8.904958,183,Validation,2,1
8.538893,4.62447,192,Validation,2,1
6.9499965,7.591603,194,Validation,2,1
-2.8574557,-5.7978044,198,Validation,2,1
-10.373469,-7.6216583,208,Validation,2,1
-2.657753,-2.8228483,211,Validation,2,1
-4.9047456,-3.2598572,218,Validation,2,1
6.227926,8.427906,240,Validation,2,1
10.373469,5.6841736,242,Validation,2,1
-6.8170114,-0.09953147,247,Validation,2,1
7.049818,4.1771007,249,Validation,2,1
6.8209686,6.1629915,250,Validation,2,1
-7.573369,-4.5764184,252,Validation,2,1
-14.256616,-10.699454,255,Validation,2,1
5.44685,-4.6365447,263,Validation,2,1
-13.906964,-12.477056,265,Validation,2,1
7.6409483,5.493413,267,Validation,2,1
8.538893,3.0001264,269,Validation,2,1
8.911627,4.0552855,272,Validation,2,1
7.911209,9.118492,277,Validation,2,1
8.911627,6.7403364,278,Validation,2,1
8.538893,12.716417,282,Validation,2,1
8.538893,12.76925,283,Validation,2,1
8.911627,9.178828,285,Validation,2,1
-5.8978305,-7.0705056,293,Validation,2,1
-11.850297,-11.024316,296,Validation,2,1
-10.547433,-8.101303,300,Validation,2,1
4.823849,10.272635,314,Validation,2,1
-9.809491,-7.807959,316,Validation,2,1
-8.645655,-9.68093,325,Validation,2,1
-13.492493,-11.155294,333,Validation,2,1
-10.757191,-10.343602,337,Validation,2,1
-9.964145,-10.614086,338,Validation,2,1
-11.427419,-10.712693,340,Validation,2,1
-5.670143,-4.438739,341,Validation,2,1
5.652566,3.267132,362,Validation,2,1
12.728371,11.446305,371,Validation,2,1
5.182881,4.9843216,380,Validation,2,1
8.761648,10.7628565,391,Validation,2,1
-9.809491,-6.8798695,397,Validation,2,1
9.234157,8.061921,406,Validation,2,1
10.373469,7.860106,416,Validation,2,1
10.780248,12.919951,427,Validation,2,1
-7.573369,-5.8725443,442,Validation,2,1
7.049818,9.548774,443,Validation,2,1
7.911209,8.908824,448,Validation,2,1
7.1635184,9.2015295,452,Validation,2,1
11.243289,11.11487,460,Validation,2,1
11.200126,11.155881,483,Validation,2,1
11.582187,10.671902,484,Validation,2,1
10.199505,8.597122,487,Validation,2,1
12.346309,12.376069,495,Validation,2,1
11.582187,8.80638,497,Validation,2,1
11.582187,8.879325,498,Validation,2,1
12.728371,12.365652,502,Validation,2,1
11.591216,12.341828,507,Validation,2,1
14.662326,12.157521,508,Validation,2,1
14.222214,9.51038,515,Validation,2,1
8.911627,9.3209305,516,Validation,2,1
10.456662,9.616306,519,Validation,2,1
8.402198,8.871762,524,Validation,2,1
-7.1635184,-7.6074367,531,Validation,2,1
-8.538893,-7.9080653,532,Validation,2,1
-6.9499965,-7.1288347,537,Validation,2,1
2.8574557,6.3768554,541,Validation,2,1
11.391156,8.560938,542,Validation,2,1
13.121934,6.7682805,547,Validation,2,1
11.582187,7.4313874,548,Validation,2,1
4.019613,5.986429,556,Validation,2,1
3.210377,5.6491055,557,Validation,2,1
4.8476205,4.064608,558,Validation,2,1
4.6817904,4.4388795,559,Validation,2,1
4.9047456,3.2513442,561,Validation,2,1
4.421898,3.381852,562,Validation,2,1
10.373469,9.304899,573,Validation,2,1
13.121934,9.015624,574,Validation,2,1
-6.227926,-7.594236,583,Validation,2,1
6.8170114,8.332127,590,Validation,2,1
7.573369,4.2406483,595,Validation,2,1
14.256616,9.825984,598,Validation,2,1
-11.391156,-9.462847,602,Validation,2,1
-6.3846426,-0.87445015,605,Validation,2,1
-8.538893,-5.510176,612,Validation,2,1
-8.911627,-6.4559445,615,Validation,2,1
-7.911209,-8.724454,617,Validation,2,1
-7.911209,-8.082937,620,Validation,2,1
-8.911627,-8.538846,621,Validation,2,1
-8.911627,-8.132774,628,Validation,2,1
5.8978305,7.385206,636,Validation,2,1
-9.985035,-8.218175,637,Validation,2,1
-9.860089,-3.1857476,651,Validation,2,1
11.243289,7.729264,654,Validation,2,1
-8.222192,-8.407993,655,Validation,2,1
12.982928,11.272492,656,Validation,2,1
-4.823849,-8.142685,657,Validation,2,1
-12.074589,1.4033015,663,Validation,2,1
10.757191,8.558185,670,Validation,2,1
9.738947,20.797802,673,Validation,2,1
9.964145,9.621707,681,Validation,2,1
14.634608,11.266386,685,Validation,2,1
7.721544,6.061454,5,Test,2,1
-13.374806,-11.486741,8,Test,2,1
-11.965903,-10.430209,56,Test,2,1
-8.761648,-10.235957,57,Test,2,1
-7.573369,-4.8485746,68,Test,2,1
-9.647698,-10.873672,74,Test,2,1
-7.2991705,-6.1558237,76,Test,2,1
-8.839217,-8.015093,78,Test,2,1
-10.780248,-11.246043,84,Test,2,1
-6.8209686,-4.7401857,91,Test,2,1
-3.514787,-4.622743,97,Test,2,1
-7.049818,-5.904489,100,Test,2,1
-7.911209,-8.008903,108,Test,2,1
6.2163453,3.9563968,113,Test,2,1
-11.243289,-10.299717,117,Test,2,1
7.2991705,9.381089,120,Test,2,1
2.0416784,6.7113414,122,Test,2,1
-8.538893,-7.762225,127,Test,2,1
-11.013371,-10.176936,138,Test,2,1
-11.200126,-9.412849,139,Test,2,1
-11.200126,-10.370568,140,Test,2,1
-9.485906,-9.330797,145,Test,2,1
-9.485906,-9.9404745,151,Test,2,1
-9.485906,-9.482638,153,Test,2,1
-11.591216,-11.018777,161,Test,2,1
-7.8782945,-5.2727847,169,Test,2,1
-14.222214,-8.437182,171,Test,2,1
-14.222214,-9.038016,172,Test,2,1
-8.911627,-9.176173,177,Test,2,1
-12.346309,-9.143804,179,Test,2,1
-8.803132,-9.555942,185,Test,2,1
7.6409483,7.368948,187,Test,2,1
8.538893,7.1916256,189,Test,2,1
-11.582187,-9.473786,200,Test,2,1
-9.809491,-7.56967,206,Test,2,1
-10.547433,-5.8358054,209,Test,2,1
-11.391156,-7.399836,212,Test,2,1
-4.421898,-2.8927412,219,Test,2,1
-6.8209686,-7.184959,225,Test,2,1
-9.647698,-5.733535,226,Test,2,1
-10.373469,-7.8845983,230,Test,2,1
6.609324,5.457329,236,Test,2,1
8.222192,8.792294,239,Test,2,1
6.4123206,7.631002,244,Test,2,1
10.373469,3.6399238,246,Test,2,1
7.2991705,3.7283075,248,Test,2,1
7.573369,3.9540584,251,Test,2,1
-11.582187,-7.2082314,253,Test,2,1
11.243289,7.5475955,256,Test,2,1
8.911627,2.8993948,266,Test,2,1
8.911627,2.5974436,270,Test,2,1
8.208399,2.597443,273,Test,2,1
7.911209,6.9529114,274,Test,2,1
8.719284,9.146937,281,Test,2,1
8.208399,0.6934579,289,Test,2,1
-9.809491,-8.186432,302,Test,2,1
-12.982928,-9.875272,303,Test,2,1
8.222192,9.240372,312,Test,2,1
-11.366404,-10.529723,315,Test,2,1
-8.645655,-12.941062,319,Test,2,1
-10.206749,-9.557636,332,Test,2,1
-8.645655,-10.460803,339,Test,2,1
9.41236,8.484949,344,Test,2,1
-9.081853,-3.308524,346,Test,2,1
13.374806,11.716185,351,Test,2,1
7.911209,12.7745695,355,Test,2,1
11.29468,10.267024,365,Test,2,1
10.553817,11.266472,366,Test,2,1
11.157184,14.73367,367,Test,2,1
12.103264,11.274903,368,Test,2,1
10.780248,10.779033,369,Test,2,1
12.728371,11.218057,370,Test,2,1
11.157184,11.299498,374,Test,2,1
12.728371,11.233262,375,Test,2,1
8.010414,9.97115,385,Test,2,1
5.681445,7.3147407,393,Test,2,1
-9.234157,-3.6604445,396,Test,2,1
8.360079,9.098345,405,Test,2,1
2.5376084,5.9716983,410,Test,2,1
8.131989,7.6597066,413,Test,2,1
11.391156,9.183081,414,Test,2,1
8.412317,7.7272773,415,Test,2,1
8.839217,8.716113,421,Test,2,1
5.269798,6.895264,430,Test,2,1
-7.573369,-5.5532975,438,Test,2,1
6.3323684,5.5637603,439,Test,2,1
-7.049818,-6.1660223,444,Test,2,1
